good,medium,bad
571,215,194
535,161,302
695,207,192
631,143,133
614,164,70
589,232,166
634,216,67
580,155,81
579,166,69
640,176,84
684,105,51
694,121,33
636,204,37
699,250,70
511,296,286
362,305,343
691,202,67
778,172,27
733,91,13
659,204,27
698,238,52
787,210,42
818,156,17
784,166,10
690,128,7
715,309,35
666,136,10
647,224,33
852,171,21
813,135,10
832,80,2
738,72,0
857,134,6
789,74,3
920,163,4
816,220,10
932,160,3
791,57,1
830,209,36
783,119,23
863,139,3
761,71,16
707,182,3
720,83,1
805,139,11
863,193,9
750,194,12
694,103,9
773,233,32
743,103,22
774,140,15
800,164,39
763,76,2
763,91,2
793,80,1
720,110,4
772,272,31
746,62,3
765,295,22
798,23,7
827,84,3
885,186,17
870,91,4
789,88,1
762,104,6
742,68,2
835,69,0
807,112,1
739,278,20
781,34,5
784,101,1
699,137,6
716,170,0
784,216,12
705,255,87
741,155,55
583,188,141
663,138,5
918,152,4
857,128,2
755,69,1
798,103,4
770,146,4
750,243,11
695,250,20
786,150,2
713,93,13
734,216,21
752,214,8
733,146,3
717,86,9
764,103,2
789,125,21
786,122,14
838,234,20
845,188,34
827,147,8
803,99,13
743,73,1
761,75,1
