good,medium,bad
718,94,0
787,137,0
759,81,0
974,87,0
788,87,0
879,85,0
740,117,0
795,51,0
801,57,0
897,78,1
917,161,1
762,93,4
766,91,0
691,173,0
838,175,0
658,174,1
929,168,0
809,116,0
895,58,0
921,166,1
730,126,8
721,105,0
974,120,0
722,127,0
701,149,0
755,105,0
843,173,6
779,193,1
868,180,7
821,121,4
791,123,6
829,113,0
919,171,0
904,90,0
893,94,0
770,88,0
879,125,0
968,90,0
976,115,0
920,75,0
900,127,0
783,122,0
714,140,0
878,192,9
757,54,1
905,170,0
833,200,10
753,87,1
797,133,0
910,130,1
820,72,0
779,100,0
852,110,0
708,119,0
786,67,14
762,114,1
819,200,0
931,128,0
709,118,0
928,111,0
970,73,0
861,170,5
885,143,0
844,178,11
722,107,0
912,78,0
952,117,5
925,147,0
750,104,3
879,118,0
791,164,0
699,119,0
838,230,4
801,175,10
880,217,0
777,84,6
787,88,0
806,76,0
716,146,0
759,92,0
758,59,0
849,111,0
817,149,1
744,122,0
781,245,25
750,99,4
847,136,0
867,117,0
821,255,6
841,154,1
872,83,1
721,92,0
954,131,0
925,137,0
956,140,0
965,103,0
808,95,0
798,52,0
828,92,0
817,95,0
