good,medium,bad
804,173,3
799,197,2
785,304,5
824,83,0
746,98,4
829,158,0
840,77,0
762,54,0
730,84,0
827,73,0
762,78,0
810,38,0
808,69,0
742,274,3
515,535,43
692,309,9
900,58,2
829,148,0
789,48,0
772,118,0
943,45,0
811,228,0
830,159,2
865,93,2
739,84,2
700,346,13
709,102,1
688,190,26
776,261,7
820,138,0
802,112,0
778,32,0
819,177,1
798,68,0
804,269,14
790,248,8
775,295,25
727,121,1
797,272,6
791,134,0
865,136,4
802,32,14
765,127,0
755,49,0
798,157,0
749,308,8
755,194,7
776,27,3
877,161,0
816,44,8
782,144,3
837,161,5
821,20,0
818,38,0
747,126,1
803,31,0
767,303,5
783,28,0
800,281,1
812,11,5
780,133,1
719,357,12
795,168,2
720,149,9
774,98,0
690,121,1
752,151,1
874,46,0
812,223,2
802,18,0
793,93,0
731,111,0
746,140,0
724,284,4
682,291,74
729,219,3
798,114,0
764,42,0
905,164,5
866,117,4
754,71,0
825,80,0
823,97,0
754,202,48
733,226,6
733,204,1
705,110,4
766,192,13
709,265,0
717,163,2
785,27,0
778,91,0
751,182,2
865,47,10
769,308,15
803,262,2
876,104,2
821,94,0
781,36,0
804,33,0
