server,bus1,bus2,bus3
505,183,176,116,
461,163,74,300,
593,181,125,195,
434,152,148,173,
426,196,140,86,
511,145,186,145,
491,121,174,131,
432,112,143,129,
568,87,73,86,
576,107,110,107,
560,99,93,88,
564,91,110,83,
577,62,170,68,
720,101,118,80,
816,81,112,84,
749,89,98,74,
622,84,184,70,
644,124,131,78,
537,82,142,76,
597,54,173,66,
669,66,195,58,
617,94,179,149,
616,98,193,84,
601,107,191,61,
501,103,179,42,
687,89,205,78,
519,68,157,68,
610,69,146,79,
659,112,164,109,
612,101,173,72,
579,116,125,94,
472,118,132,88,
625,121,148,103,
530,112,147,77,
734,90,211,52,
686,77,221,62,
694,132,187,82,
528,92,151,78,
703,117,152,103,
626,86,143,70,
611,139,158,97,
527,89,154,78,
592,78,134,88,
506,104,138,56,
628,101,146,80,
712,163,125,65,
613,139,111,93,
458,127,132,89,
714,105,140,79,
539,99,136,94,
600,100,143,86,
685,128,125,65,
547,120,95,79,
553,102,124,77,
574,109,129,62,
527,125,121,61,
686,154,152,83,
507,135,119,50,
672,174,177,59,
565,102,107,54,
589,137,124,64,
720,160,139,69,
669,117,133,46,
613,113,99,53,
556,135,96,85,
490,141,135,46,
614,135,94,61,
591,146,86,97,
648,185,155,49,
532,126,88,74,
549,162,106,69,
559,98,95,90,
583,102,107,94,
649,97,151,115,
697,107,155,88,
634,98,124,95,
587,55,146,124,
445,125,140,96,
694,141,145,94,
640,144,116,87,
534,101,89,101,
604,115,72,114,
617,106,80,117,
642,130,96,136,
646,146,64,109,
674,103,61,100,
570,99,42,108,
703,118,41,109,
712,121,44,97,
698,58,41,85,
588,61,53,110,
644,99,48,78,
711,83,45,96,
691,80,39,112,
809,111,74,98,
717,111,73,166,
723,77,65,117,
681,63,50,121,
585,68,52,112,
611,59,65,102,
