server,bus1,bus2,bus3
287,124,303,98,
307,204,228,185,
342,141,225,132,
459,208,264,130,
334,178,214,149,
357,221,238,148,
291,197,208,161,
322,187,219,118,
286,193,224,155,
460,162,205,149,
454,193,241,191,
331,170,221,137,
338,171,230,118,
392,177,175,120,
585,185,94,149,
511,133,91,98,
535,178,250,134,
418,160,216,131,
415,172,228,138,
544,204,210,130,
341,162,218,143,
304,160,239,123,
473,228,258,135,
350,146,231,122,
380,127,216,127,
502,44,211,103,
638,42,201,141,
598,53,188,134,
587,135,194,139,
459,134,228,125,
416,135,221,148,
463,129,237,113,
575,156,225,134,
488,159,205,142,
467,129,233,158,
425,130,187,116,
493,161,216,134,
563,154,208,133,
538,185,242,126,
471,168,243,113,
486,189,224,128,
443,144,204,114,
434,115,199,106,
616,135,197,131,
354,175,155,128,
563,174,164,174,
551,168,159,165,
398,141,174,128,
408,188,180,154,
539,166,204,132,
413,144,191,144,
348,182,197,152,
403,196,216,147,
270,201,181,175,
378,169,197,123,
401,162,187,127,
505,158,213,143,
507,193,214,145,
327,150,215,135,
507,175,238,119,
547,190,197,109,
498,192,226,120,
573,155,198,102,
530,160,219,124,
351,160,192,126,
451,174,218,147,
534,198,226,116,
522,200,209,141,
386,190,158,123,
513,145,219,120,
463,151,211,130,
509,34,163,112,
687,46,219,120,
629,38,182,137,
772,36,161,128,
440,102,197,128,
331,131,277,136,
371,148,238,125,
339,169,199,155,
369,153,222,107,
403,120,156,138,
478,139,228,115,
436,137,261,133,
399,148,198,121,
703,191,47,110,
551,159,40,103,
673,154,40,116,
666,162,40,116,
711,205,44,122,
610,181,59,146,
520,173,142,121,
376,162,146,129,
562,202,183,138,
501,207,167,187,
575,223,162,136,
496,199,235,138,
408,138,235,122,
414,149,170,117,
453,146,215,106,
494,108,207,103,
