server,bus1,bus2,bus3
669,89,126,96,
703,86,117,92,
753,114,131,96,
629,82,115,81,
619,76,84,69,
721,92,100,74,
595,107,121,94,
536,87,116,77,
548,84,111,71,
588,91,130,91,
592,70,99,79,
548,94,126,80,
609,83,117,68,
763,108,71,77,
879,78,64,72,
798,81,66,65,
678,81,112,89,
664,106,115,92,
516,100,126,95,
619,100,103,68,
691,102,110,85,
738,106,109,86,
665,113,119,94,
668,80,116,96,
538,76,124,87,
780,58,121,100,
571,51,87,103,
650,61,74,119,
731,116,108,89,
696,89,88,85,
589,115,124,86,
524,95,114,77,
673,105,130,89,
574,88,116,88,
784,91,129,83,
759,87,124,76,
799,104,119,73,
554,95,126,74,
768,93,130,84,
699,71,101,54,
675,108,121,101,
559,83,128,78,
673,61,83,75,
495,104,121,84,
721,85,62,87,
806,109,70,80,
701,101,69,85,
499,109,113,85,
716,99,114,109,
572,86,117,93,
617,112,116,84,
629,129,138,107,
514,110,125,92,
557,98,117,84,
570,92,117,95,
580,77,112,65,
775,92,120,88,
516,100,120,75,
782,90,118,92,
514,98,132,84,
690,73,92,59,
805,108,107,68,
690,84,119,72,
598,84,126,70,
527,116,122,107,
558,80,99,75,
617,105,113,69,
602,110,124,84,
720,109,117,91,
487,99,136,98,
596,72,122,96,
600,47,111,84,
623,50,115,98,
736,55,129,92,
790,53,117,87,
664,93,111,83,
589,102,125,96,
519,97,111,79,
758,106,117,93,
673,111,128,75,
574,81,100,70,
623,80,117,85,
630,78,118,94,
754,97,82,71,
723,107,52,83,
738,86,44,70,
617,84,46,72,
786,79,42,64,
721,104,50,99,
651,77,58,96,
573,67,105,67,
586,96,105,82,
669,92,106,68,
561,122,134,105,
764,118,123,87,
759,102,120,86,
677,85,123,97,
633,89,98,95,
522,87,119,89,
512,94,126,105,
